id,deck,rank,suit,suit_glyph,code,tarot_type,tarot_index,tarot_name,arb_species_id,arb_species,arb_value,bean_id,bean_name,bean_count
71,B,6,H,♥,B6H,major,XVII,THE STAR,6,REED,6,2,COIN,18
72,B,7,H,♥,B7H,major,XVIII,THE MOON,6,REED,7,3,MOON,16
73,B,8,H,♥,B8H,major,XIX,THE SUN,6,REED,8,3,MOON,16
74,B,9,H,♥,B9H,major,XX,JUDGEMENT,9,CONE,6,3,MOON,16
75,B,10,H,♥,B10H,major,XXI,THE WORLD,10,BLOOM,6,3,MOON,16
76,B,J,H,♥,BJH,minor,,KNIGHT OF CUPS,,,,3,MOON,16
77,B,Q,H,♥,BQH,none,,,,,,3,MOON,16
78,B,K,H,♥,BKH,none,,,,,,3,MOON,16
79,B,A,D,♦,BAD,none,,,7,THORN,1,3,MOON,16
80,B,2,D,♦,B2D,none,,,7,THORN,2,4,WAVE,14
81,B,3,D,♦,B3D,none,,,7,THORN,3,4,WAVE,14
82,B,4,D,♦,B4D,none,,,7,THORN,4,4,WAVE,14
83,B,5,D,♦,B5D,none,,,7,THORN,5,4,WAVE,14
84,B,6,D,♦,B6D,none,,,7,THORN,6,4,WAVE,14
85,B,7,D,♦,B7D,none,,,7,THORN,7,4,WAVE,14
86,B,8,D,♦,B8D,none,,,7,THORN,8,4,WAVE,14
87,B,9,D,♦,B9D,none,,,9,CONE,7,5,SHIELD,12
88,B,10,D,♦,B10D,none,,,10,BLOOM,7,5,SHIELD,12
89,B,J,D,♦,BJD,minor,,KNIGHT OF PENTACLES,,,,5,SHIELD,12
90,B,Q,D,♦,BQD,none,,,,,,5,SHIELD,12
91,B,K,D,♦,BKD,none,,,,,,5,SHIELD,12
92,B,A,C,♣,BAC,none,,,8,FROND,1,5,SHIELD,12
93,B,2,C,♣,B2C,none,,,8,FROND,2,6,SPIRAL,10
94,B,3,C,♣,B3C,none,,,8,FROND,3,6,SPIRAL,10
95,B,4,C,♣,B4C,none,,,8,FROND,4,6,SPIRAL,10
96,B,5,C,♣,B5C,none,,,8,FROND,5,6,SPIRAL,10
97,B,6,C,♣,B6C,none,,,8,FROND,6,6,SPIRAL,10
98,B,7,C,♣,B7C,none,,,8,FROND,7,7,QUARTZ,8
99,B,8,C,♣,B8C,none,,,8,FROND,8,7,QUARTZ,8
100,B,9,C,♣,B9C,none,,,9,CONE,8,7,QUARTZ,8
101,B,10,C,♣,B10C,none,,,10,BLOOM,8,7,QUARTZ,8
102,B,J,C,♣,BJC,minor,,KNIGHT OF WANDS,,,,8,CROWN,6
103,B,Q,C,♣,BQC,none,,,,,,8,CROWN,6
104,B,K,C,♣,BKC,none,,,,,,8,CROWN,6
